2-f,score
Krt73,44.8718373920579
Krt71,14.4908107490641
Nkd2,9.84235016019943
Hopx,5.28574388863558
Map1b,3.56764356128461
Klf5,3.1272287749686
RP23-57A17.2,3.07725006657415
Krt25,2.88693858354683
Bcl2l11,2.88351781517531
Hist1h2ad,2.870361588671
