3-b,score
Fkbp10,598.766630860429
Ptprd,420.617606115716
Gm37498,417.365542025467
Dio3,291.103982976531
Slc8a2,258.926561647597
Tll1,249.364421133238
Cntn2,173.197416125781
Gm9930,165.98830015232
Srpx,159.246389940593
Slit2,157.569669057938
Csn3,142.100306920577
Gm26911,141.360363131759
Thy1,109.422876604104
RP23-296N5.2,101.157852512368
Spon2,95.0972495528229
Acta2,88.3775571025122
Lamc3,78.4438524421938
Fbln5,75.028020247353
Xkr4,74.1315994264938
Aoc3,56.2189248812033
Adamts5,56.1662132750462
Tagln,55.4962140579911
Cxcl12,49.6316902414478
Ppp1r3c,49.6206332879796
Dnah7b,47.9627495650362
Dlg4,45.2022585759034
Il31ra,45.1505205842703
Mdga1,44.1858950596649
Fndc1,41.6762528357568
Ppp1r3b,38.7023434446378
Ghr,38.344701731163
Spon1,38.2945989570222
Pear1,37.7718402050114
Anxa3,35.5001828439294
Clu,34.5783381373064
Dhrs9,32.7846696440481
RP23-296N5.4,31.8641617280078
Itga1,31.7084822327508
Thbs2,31.5750957050937
Tek,31.5131142323468
Cald1,31.363118307729
Lrrn2,31.1418733666139
Chn2,27.9935209663199
Myrf,27.7203456637902
Edn2,27.4436896613233
Inhbb,27.2687621638571
Pamr1,27.2532120127686
RP23-296N5.1,26.7609348754681
Gm37310,26.5166588751655
Cyp2s1,26.3273886400804
Ptprv,24.5744539640236
Cd248,24.2767643315454
Nova1,23.3080499970045
Myl9,22.3728302880916
Gm37945,22.1268643640141
Pcdh18,19.9209940109061
Gm26835,19.7834936781909
Igsf10,19.756755728025
Oplah,19.6710079299387
Slc1a3,18.7979888674575
Prokr1,18.5600609616723
Angptl4,18.3704079512777
Fhl2,18.3016034850743
Gprc5c,18.1970891664147
RP23-25K2.2,17.6309280931491
Lgr5,17.6186497023524
Sbspon,16.7848550387776
Thsd1,16.7378138757434
Ptk2b,16.5718814873115
Slc7a11,16.4457929384046
Ret,16.3515044650132
Slc15a2,16.2775843199848
Hivep2,16.2413574452591
Gm12394,16.2316831147771
Alpl,15.9576727738444
RP23-296N5.3,15.9396082802095
Kcnk2,15.9339578986064
Shisa2,15.7436027396557
Ank,15.655294662619
Slit3,15.5588493826553
Cps1,15.5209189802349
2700078F05Rik,15.1691275727571
Tbx1,15.0905259825141
Palld,15.011889959952
Prrg3,14.8545633289088
Pla2g7,14.444510069137
Creb5,14.4403743898337
Vnn1,14.4044960121042
Tcn2,14.3731512084493
Speg,14.3315134860118
Dnah7c,14.2235770334443
Aig1,14.0443128794786
Fhod3,14.0078827423417
Wnt9a,13.8073772468492
Il11ra2,13.8041472630242
Fhl1,13.6297195646988
Flrt2,13.5091895558974
Fblim1,13.4451715773107
Arhgef28,13.2882433771284
Tnc,13.2685105755125
