cluster 0 gene,cluster 0 score,cluster 1 gene,cluster 1 score,cluster 2 gene,cluster 2 score,cluster 3 gene,cluster 3 score,cluster 4 gene,cluster 4 score,cluster 5 gene,cluster 5 score,cluster 6 gene,cluster 6 score,cluster 7 gene,cluster 7 score,cluster 8 gene,cluster 8 score,cluster 9 gene,cluster 9 score,cluster 10 gene,cluster 10 score,cluster 11 gene,cluster 11 score
Sfn,128.20602,Ccnd2,115.37218,Aebp1,93.52012,Col3a1,132.22589,Fn1,89.79163,Rps21,101.11101,Dusp9,102.15608,Sox11,84.9217,Nhp2,79.41602,Dppa5a,99.552,Lgals1,36.37609,Lama1,21.100988
Cldn6,123.12095,Actg2,93.30063,Mgp,91.53319,Col1a1,130.52278,Aebp1,88.55161,Rps27,100.4474,Krt8,101.07737,Mdk,82.70928,Ran,79.37134,Chchd10,92.43154,S100a11,30.891092,Srgn,21.080065
Cldn4,122.34263,Rpl18a,89.52625,Cdkn1a,86.89591,Col1a2,129.08617,Timp1,86.84311,Rps28,100.334854,Sin3b,100.41079,Gm1673,80.94617,Rps5,78.6925,Slc25a5,92.03229,S100a6,29.008343,Col4a1,20.98823
Krt18,121.80211,S100a6,87.67424,Cd81,86.67319,Timp2,122.978584,Thbs1,85.51543,Rps29,98.95615,Krt18,99.467384,Marcksl1,79.76399,Eif5a,78.48824,Rhox5,91.761086,Acta2,28.78233,Col4a2,20.973646
Spint2,118.9096,Vim,87.26609,Ifitm3,86.670815,Mmp2,122.38414,Fbln2,83.18367,Rps8,96.38924,Peg10,98.27293,H2afv,75.436264,Dctpp1,76.332756,Eif2s2,91.19594,Tagln,27.937136,Lamc1,20.873844
Pdlim1,117.472115,Rps9,86.71665,Phlda3,83.30592,Sparc,119.514496,Msn,82.350716,Rplp1,96.14405,Krt7,96.693184,Hmgb3,73.55107,Rplp0,76.03378,Nanog,89.10591,Tpm2,27.906883,Lamb1,20.730558
Krt8,116.314514,Rps5,85.20839,Cdkn2a,82.85316,Col5a2,118.095665,Cald1,82.02159,Rpl37,95.04473,Nrk,95.17406,H3f3a,72.45223,Serbp1,75.21574,Hsp90aa1,89.00014,Myl6,26.657549,Plod2,20.384882
Krt7,113.983475,Rps14,84.005104,Gabarap,79.16605,Fstl1,116.71991,Tnfrsf12a,80.70966,Rps12,94.482925,Cdkn1c,94.85609,Tubb2b,71.86681,Nop10,73.819305,Ube2a,88.585724,Myl9,26.270601,Hs3st1,20.271837
Mdk,112.06925,Ccnd1,83.65243,Thbs1,76.237175,Col6a1,113.73423,Tagln,80.3096,Rpl36,94.28321,Krt19,93.50825,Nnat,70.615074,Rps9,73.305855,Cox7b,88.285675,Fkbp1a,26.139746,Txndc12,19.986866
Krt19,108.37864,Aldh3a1,80.65967,Itm2b,75.37323,Selm,113.72283,Lgals1,80.047676,Rps26,93.016624,Sct,91.86492,Cdk4,69.24004,Rpl8,73.23555,Trap1a,88.20225,Pfn1,25.183817,Sparc,19.483406
Tacstd2,106.653366,Ly6a,79.00472,Tmem176b,74.94646,Lox,110.78499,Tspo,79.93551,Rpl22l1,92.92308,Lgals3,91.14486,Map1b,68.64709,Pmm1,73.092125,Utf1,87.309265,Timp1,24.937593,Aqp8,18.987143
H19,104.46486,Rpl10a,78.4436,Fn1,73.39929,Thbs2,109.934456,Pmepa1,79.39325,Rpl37a,90.70437,Rhox6,90.16868,Ttc3,68.251495,Npm1,72.92801,Tdgf1,86.5862,Tspo,24.833735,P4ha1,18.736662
Cdh1,103.61859,Mgst1,77.32226,Nupr1,72.60022,B2m,108.40973,Lmna,79.3683,Rplp2,89.52299,1600025M17Rik,88.51726,Cd24a,67.65148,Eef1g,72.46078,Mylpf,86.55517,Actg2,24.417213,Pdpn,18.178133
Igf2,103.54997,Cd109,76.87337,Cyp1b1,71.96659,Mgp,107.6345,Timp3,78.03547,Rps17,88.41329,Hspb1,87.01126,Tubb5,66.27581,Lyar,72.410286,Mkrn1,86.2716,Vim,24.378534,Gpx3,17.780703
Bcam,103.548134,Gstm1,75.24072,Gas6,71.87102,Aebp1,105.802826,Vim,77.61778,Eef1b2,87.619194,H19,86.49663,Mest,63.344643,Gsta4,71.95375,Prps1,85.388084,Tmsb10,23.234394,Gata4,17.278187
Hmgn1,101.28163,Malat1,75.07192,Pcolce,70.49724,Mxra8,105.44577,Lox,76.30091,Rpl8,87.56219,Tbrg1,85.647064,Ckb,62.72853,Gsto1,71.855705,Rpl36a,85.085434,Rhoc,23.207193,Egln3,17.130306
Epcam,98.954544,Laptm5,73.9902,Laptm4a,70.22548,Snhg18,105.39201,Tpm2,76.00382,Rpl36a,85.17861,Plet1,85.565926,Eif3f,62.06577,Rpl6,71.10872,Npm1,84.664894,Sh3bgrl3,23.06665,Serpinh1,17.09145
Cldn3,95.21312,Rpl37,73.53581,Fth1,69.77586,Col5a1,104.86788,Acta2,75.02734,Rpl41,85.0881,Rhox9,84.37098,Bex2,61.59149,Gm8730,70.60999,Fabp3,84.63798,Anxa5,22.89996,Nid1,17.067266
Wbp5,94.76447,Rpl22l1,72.96556,Timp1,68.90394,Loxl1,104.48284,Anxa5,74.1115,Rps20,83.60804,Serpinb9b,84.36256,Rps6,61.537617,Ranbp1,70.20436,Slc2a3,81.84491,Myl12a,21.936434,Pth1r,17.0611
Bex1,93.2112,Avpi1,72.502014,Timp3,67.862755,Igfbp4,103.43544,Itgb1,73.20703,Rps16,83.40907,Igf2,84.26103,Cotl1,59.25459,Rpl18a,68.300804,Upp1,81.06112,Tpm4,21.591434,Kdelr3,17.05235
Cldn7,92.21407,Rps16,71.0775,Lrp1,65.894806,Rcn3,101.52735,Actn1,73.10066,Rpl23,82.39012,Sri,83.8161,Hsp90ab1,58.62859,2810417H13Rik,68.22148,Mrps24,80.61614,Rps26,21.350494,Fut8,16.827219
Lsr,87.47954,Gsta4,71.03278,Cald1,65.285545,Col6a2,100.45222,Phlda3,72.778,Rpl32,82.25823,Mbnl3,82.70775,Hmgb1,58.56338,Rpl3,68.024605,Hells,80.43559,Gabarap,21.145775,Glul,16.282682
Marcksl1,87.189896,Emp3,71.024086,Lgals1,65.02311,Cdh11,99.28455,Nupr1,72.75039,Rpl12,81.841,Aprt,82.4544,Ppdpf,58.345337,Dut,67.89422,Sox2,80.15034,Txndc17,21.011055,Clu,16.209885
Ngfrap1,86.57834,Gsto1,70.88497,Cd63,64.785164,Sod3,99.2256,Timp2,71.95758,Rps27a,81.38977,3830417A13Rik,82.398865,Mfap2,58.057026,Mif,67.679115,Cox5a,79.0349,Sepw1,20.831821,Kit,16.132256
Dsp,86.504745,Rpl3,70.10987,Serpine2,64.582794,Lrp1,98.94614,Sdc2,71.78068,Rps15,81.29748,Serpinb9e,81.134735,Pcbp4,57.376785,Cks1b,67.450195,Mtf2,77.7859,Nupr1,20.825724,Creb3l1,16.050081
Cd24a,84.086,Eef1b2,69.28578,Col1a1,64.54931,Lgals1,98.3149,Myl9,71.383064,Rpl14,80.77351,Tfap2c,80.87074,H2afy2,57.07553,Cenpa,67.39953,Rpl10,76.00052,Rps2,20.80694,P4ha2,15.917362
Wnt4,83.08736,Rpsa,68.89893,Emp3,64.53881,Fbn1,98.147766,Axl,71.13128,Rpl35a,77.49847,Plac1,80.860214,Mettl9,56.818485,Cacybp,67.36493,Lyar,74.95907,Anxa2,20.577427,Rpl15,15.914914
F11r,81.06207,Rps4x,68.47998,Vim,63.724445,Col12a1,96.71443,Ak1,70.94559,Rps11,77.20372,Las1l,80.0997,Eif1b,56.69224,Hspd1,66.8433,Hmgb2,74.86673,Selm,20.358618,Fndc3a,15.864914
Hspb1,79.84814,Rpl13a,64.926216,Malat1,63.61605,Ly6e,96.49049,Col1a1,70.193565,Rpl35,76.4855,Ralbp1,79.69446,Nr2f1,56.134502,Banf1,66.001465,Dek,74.83438,Cfl1,20.022041,Cmtm7,15.775393
Lamc2,79.70517,Rps21,63.71423,B2m,63.211674,Emilin1,96.05089,Prss23,69.967926,Rpl39,76.20569,Tagln2,78.87199,6330403K07Rik,55.900616,Hspe1,64.44303,Rpl39,73.93375,Cthrc1,19.855307,Fau,15.5368595
Ptprf,78.53959,Slc25a4,63.65731,Ak1,62.951454,Ogn,95.835304,Serpinh1,69.3734,Nop10,75.507484,Peg3,78.38158,H2afy,55.230247,Lsm4,64.279205,Hat1,73.85396,Sec61b,19.769081,Soat1,15.385048
St14,78.24586,Gstm5,63.232937,Ifitm2,62.011356,Wisp2,95.675804,Ehd2,69.0583,Rps25,73.99393,Atxn10,77.01967,Snrpd1,54.882942,Chchd4,64.24681,Fkbp3,73.71826,Cox6b1,19.596352,Adam10,15.336476
Spint1,78.14649,Rpl37a,63.10507,Wisp2,61.838665,Serpinh1,94.41901,Col1a2,68.69631,Rpsa,71.98078,Zwint,75.923996,Snrpe,54.87395,Poldip2,63.697334,Ncl,73.24081,Prdx1,19.455225,Tpt1,15.288323
Perp,77.84234,Itgb4,62.65881,Serpinh1,61.54369,Col8a1,93.81779,Cyp1b1,68.314415,Rps24,71.980286,Sbsn,74.548485,Nap1l1,54.598373,Rps18,63.065014,Impa2,73.13895,Dad1,19.2349,Cystm1,15.237035
S100a11,76.86117,Lgals3,62.318424,Tmem176a,61.32887,Mmp14,93.559586,Tpm4,68.243095,Atp5k,71.91631,Nxf7,74.444664,Naca,54.40686,Ptma,62.494205,Fbxo15,72.49862,Tmsb4x,18.840616,Rpl29,15.159236
Wnt6,76.61531,Rpl32,62.238857,Col1a2,61.037773,Ndufa4l2,93.335144,Actg2,67.95377,Rps27l,71.69814,Eps8l2,73.59642,Hist3h2ba,54.29982,Phb2,62.457775,Bex1,71.85489,Uqcc2,18.567293,Rpl27a,15.067229
Peg3,74.947235,Cryab,60.98356,Timp2,59.133076,Serf2,92.6014,Pcolce,67.78791,Rpl38,71.536354,Foxo4,73.51873,Tagln3,54.11514,Rps27l,62.22904,Ooep,71.658226,Dap,18.376738,Gata6,15.062701
Krt14,71.99689,Eif3k,60.607117,Ahnak2,58.843056,Pcolce,91.91044,Ncam1,67.76863,Rps14,71.53242,Arhgef6,73.35791,Rpl15,53.86866,Cdca3,62.194324,Set,71.456764,S100a10,17.946068,Pdgfra,15.057942
Fxyd3,71.390465,Acta2,60.365196,Sdc4,58.14729,Il6st,90.8955,Cd44,66.744064,Rpl28,71.12716,Tgm2,72.97346,Rpl11,53.296856,Set,61.66308,Eif4ebp1,71.10874,Copz2,17.910862,Spink1,15.004692
Tpd52,70.106514,Rpl6,59.81148,Tspo,58.115585,Antxr1,90.86165,Emp3,66.54468,Rpl26,70.96161,Cd164,72.684044,Rps24,52.801785,Rps11,61.134552,Dut,70.91498,Dynlrb1,17.69713,Cotl1,14.957586
Apoc1,69.97787,Fxyd6,59.539158,Pmepa1,58.063957,Angptl4,90.304886,Fam198b,66.418915,Rps5,69.08494,Cited2,72.4345,Auts2,52.789745,Rpsa,60.832996,Fmr1nb,70.85729,Arhgdib,17.668257,Snhg6,14.937105
Jup,69.77889,Tm4sf1,59.061497,Sparc,57.728695,Mrc2,90.19871,Col5a2,66.16925,Rpl18a,68.91762,Cstb,71.13919,Fabp5,52.587284,Rps14,60.197205,Rps2,70.55453,Serpinb6a,17.441809,Fam3c,14.74014
Mbnl3,69.76169,Id1,57.50679,Mxra8,56.99075,Cyp1b1,89.898254,Rhoc,66.006134,Rpl21,68.71678,Rbbp7,69.95644,Rpl9,52.231133,Atp5g1,59.780273,Sms,70.55033,Actb,17.400637,F3,14.605655
Ezr,69.17082,Rpl36,56.981373,Cdkn2b,56.53375,Bicc1,89.73596,Flna,65.99155,Pdap1,68.3073,Hmox1,69.44794,H3f3b,50.8461,Cdk4,59.666355,Nhp2,70.52993,Sep15,17.368038,P3h4,14.510077
Rab25,68.79523,Acot7,56.934223,Vmp1,56.437153,Ltbp2,89.636665,Cd81,65.93976,Rpl13a,67.932915,Chmp4b,69.139824,Rpl17,50.82597,Hsp90ab1,59.46001,Ezh2,70.43157,Emp3,17.317387,S100a1,14.48941
Mpzl2,68.46635,Rps18,56.83499,Prrx1,56.166584,Gpx8,88.835846,Lhfp,65.75569,Rpl18,67.41556,Bbx,68.87961,Pafah1b3,50.6979,Mrpl12,59.314594,Rbpms2,70.10762,Cnn1,17.239708,Fabp3,14.48795
Itga6,68.02621,Cdh13,56.77638,Tm4sf1,55.441345,Pdgfrb,88.61032,Dok1,65.66675,Gnb2l1,67.33332,Csrp1,68.641846,Rps7,50.61095,Ncl,58.876522,Dkc1,70.07871,B2m,17.15161,Rps6,14.381993
Cstb,67.20492,Rps29,56.76234,Angptl4,55.345356,Eva1b,88.46498,Sdc4,65.6236,Rps9,67.106,Lgals9,68.51685,Fabp7,50.436348,Spc24,58.608044,1700013H16Rik,70.078064,Ppia,17.116304,Ckap4,14.325374
Wnt7b,67.13626,Gpx1,56.150337,Crip2,55.262142,Sdc2,88.070045,Myl6,65.61919,Ncl,66.783005,Ninj1,68.145874,Rpl7,50.314285,Lsm6,58.414413,Rps23,69.961655,Serf2,16.34713,Golga7,14.232982
Mal,66.54323,Rps8,55.61759,Btg2,54.69309,Mfap2,87.98338,Loxl3,65.55594,Rps15a,66.145996,Basp1,67.177574,Rps27a,48.896915,Ndufs6,58.242146,Dpy30,69.89268,Anxa1,15.831251,Epas1,14.215747
Tpm1,66.35452,Zfos1,55.548817,Itm2c,54.516155,Spp1,87.81824,Fstl1,65.221214,Gsta4,65.7093,Psap,66.9177,Hnrnph3,48.61634,H2afz,57.892067,Cdc5l,69.762634,Prdx5,15.778721,Rcn1,14.182494
Rbms1,66.309425,Eef1a1,55.546764,Cst3,54.506332,Serpinf1,87.46119,Anxa3,65.174324,Ybx3,65.51183,Htatsf1,66.604744,Hn1,48.604034,Hint1,57.79033,Atp5g1,69.56051,Minos1,15.569723,Rps24,14.133675
Cdcp1,65.524155,S100a10,55.234802,Prelp,54.379745,Serping1,86.79103,Angptl4,65.17339,Rps13,65.08923,Cyb5r3,66.60196,Mex3a,48.4629,Ndufb8,57.620815,Dctpp1,69.19602,Rpl30,15.55843,Rps25,14.083536
Gpc3,65.32089,Rps28,54.806538,Selk,54.310482,Cst3,86.64205,B2m,63.96425,Npm1,63.315235,Ptbp3,66.14577,Tead2,48.357243,Birc5,57.335804,Rps4x,69.08508,Rhoa,15.487233,Mtfr1l,14.028148
Pdgfa,65.31972,Rps19,53.182007,Neat1,53.95023,Thy1,86.618515,Qsox1,63.832943,Rps23,62.95645,Gata2,65.40858,Ywhae,48.322224,H2afx,57.261574,Gjb3,68.99009,Txn1,15.480482,Pgk1,14.02143
Cd151,65.11835,Rps15,53.150784,Ubc,53.61453,Colec12,85.66271,Col8a1,63.515396,Hspe1,62.765717,H2-D1,65.336105,Tspan13,48.251205,Rps3,57.034504,Syce2,68.5367,Atp5j2,15.433265,Dusp9,13.986954
Amotl1,64.98836,Hint1,52.842655,Cyr61,52.23008,Sepw1,85.25907,Prkar1a,63.23769,Rpl31,61.519257,Klf6,65.1718,Mif,47.518894,Rpl10a,56.615913,Zrsr2,68.51232,Psmd8,15.394315,Loxl2,13.947477
Pkp3,64.674774,Gnb2l1,51.966553,Fst,52.08131,Itm2c,85.09942,Gabarap,63.103905,Gsto1,60.572372,Sh3bgrl3,64.09861,Sub1,47.513298,Srsf7,56.596077,Cenpw,68.50944,Ssr4,15.109549,Rpl23,13.910854
Cmtm8,64.153595,Thbs3,51.7085,Eva1b,51.625565,Copz2,84.95957,Cyr61,62.75161,Rpl11,59.1781,Hmgn5,64.01407,Btf3,47.42688,Rpl14,56.207928,Hspe1,68.50042,Cdc42,15.103278,Tfpi,13.830782
Krt17,64.1471,Prelp,51.68583,Lmna,51.55545,Gng11,84.83071,Igfbp7,62.726933,Gm10076,59.16364,Sfn,63.577908,Ndufb5,47.303837,Rpl18,56.20405,Fkbp4,67.96036,Cnn2,15.052217,Ubqln2,13.716956
Crb3,63.572018,Ecscr,51.475906,Tagln,51.189487,Igfbp7,84.68309,Col5a1,62.66841,Rpl4,59.13234,Hic2,63.570683,Eef1g,47.11601,Pllp,56.145317,C1qbp,67.93727,Tceb2,15.045589,Rbbp7,13.710398
Bex4,62.967224,Prx,51.297913,Prss23,51.059322,Timp1,83.47933,Ddah1,62.603596,Dctpp1,58.56402,Klhl13,63.390827,Prdx2,46.970074,Srsf3,55.99223,Tet1,67.745186,Gpx8,15.027968,Rps27a,13.671364
Ralbp1,62.939293,Rpl23,51.282906,Zbtb20,50.614193,Ccdc80,83.37248,Ubc,62.58859,Serbp1,58.24092,Ezr,63.389664,Srsf3,46.718822,Bax,55.426357,Cacybp,67.71213,Glipr2,14.957029,Gng5,13.669691
Basp1,62.85205,Crym,50.76525,Fstl1,50.20061,Loxl3,82.9448,Tgfb1i1,62.51141,mt-Nd3,57.42161,Taf7,62.92044,Tuba1a,46.559074,Tomm5,55.329353,Folr1,67.55179,Rpsa,14.941991,Eef2,13.596735
Meis2,61.90931,Rpl14,50.59806,Mmp2,49.593716,Col11a1,82.51456,Mxra8,62.415184,Rps18,56.985653,Arid3a,62.42813,Dpysl2,46.391342,Id2,55.190887,Lig1,67.49405,Rpl10,14.918085,Csrp2,13.559689
Krt15,61.693058,Rplp2,50.064358,Junb,48.7991,Cxcl12,82.470474,Palld,62.389896,mt-Nd2,56.90077,Arpc1b,62.260242,Rnf7,46.266838,Lsm3,55.160915,Zfp42,67.12823,Thy1,14.907461,Chst15,13.546609
Errfi1,61.575233,Rplp1,49.654694,Selm,48.636383,Gabarap,82.44419,Fkbp10,62.35142,Nhp2,56.884945,Ctsb,62.230434,Marcks,46.152832,Nap1l1,55.041332,Dnajc2,67.0854,Uqcrb,14.851591,Fst,13.507761
Igf2bp1,61.389217,Ptrf,49.456757,Lhfp,48.62437,Osmr,82.198586,Prrx1,62.27724,Rpl7a,56.852543,Serpinb9g,62.122913,Snrpb,45.878883,Dpy30,54.97841,Ccnb2,66.85813,Cox6a1,14.839725,Krtcap2,13.402549
Rab15,61.383007,Rps26,48.84461,Gpx3,48.50268,Npc2,82.06122,Wisp1,62.26815,Avpi1,56.77345,Mvp,61.994286,Srrm2,45.52336,Aldh3a1,54.462597,Cdca3,66.85505,Serpinf1,14.770632,Insig1,13.311772
Gng5,60.994843,Epb41l2,48.83549,Ogn,46.629036,Loxl2,82.06072,Cd63,61.60299,Hint1,56.738377,Lasp1,61.926395,Limd2,45.4274,Fkbp4,54.33664,Alg13,66.73347,Tpm1,14.60221,Bsg,13.272968
Jun,60.865135,Cox4i1,48.52998,Tsc22d1,46.57589,Nbl1,82.00496,Fbn1,61.36918,Rpl29,56.45961,Pdlim1,61.81208,Meis2,45.37065,Rpl4,54.237118,Mrpl42,66.7283,Rpl23a,14.557089,Pxdn,13.271818
Zfp36l1,60.737846,Ramp3,48.279964,Tnfrsf1a,46.157135,Rnase4,81.15556,Snx7,61.331272,Banf1,56.009747,Setd8,61.18729,Fkbp4,44.675682,Rps16,54.20839,Dusp9,66.29067,Tagln2,14.508085,Rpl9,13.22417
Itga3,60.14755,Anxa3,48.03379,Rnase4,45.99674,Tcf4,81.01111,Mfge8,61.09003,Uqcr11,55.597965,Nup62cl,61.062336,Snrpf,44.516037,Sfr1,54.15764,Ccnd3,66.23854,Myeov2,14.398851,Carhsp1,13.196545
Mapk13,59.63197,Aldh2,47.720467,Prdx5,45.732986,Dkk3,80.528625,Cav1,60.83465,Uqcr10,55.17449,Cystm1,60.832767,Cbx5,44.495705,Npm3,53.91503,Hsp90ab1,66.19129,Ost4,14.315645,Eef1a1,13.19327
Gm16136,59.5713,Paics,47.199356,Acta2,44.851868,Hif1a,80.180786,Tubb6,60.556625,Zfos1,54.728252,Hagh,60.829746,Rpl29,44.252785,Txnl4a,53.788483,Rif1,66.07358,Gapdh,14.013726,Fxyd3,13.115892
Upk3bl,58.18183,Anxa8,46.846733,Mdm2,44.682747,Gas6,80.10782,Tm4sf1,60.316288,Rpl34,54.407032,Prr13,60.64896,Ptma,44.106293,Ppp1ca,53.67903,Ung,65.984314,Eef1g,13.952395,Uba52,13.025943
Kcnk1,57.84414,Rps17,46.691727,Sdc2,44.644505,Nenf,79.977905,Ecm1,60.068893,Aldh3a1,54.139126,Arpc5,60.64562,Fkbp3,44.09373,Ak2,53.67339,Dazl,65.77603,Ptrf,13.939429,Me2,13.011259
Clu,57.67799,Gm8730,46.61691,Lox,44.348816,Ifitm2,79.856544,Cdkn2b,59.970753,Hnrnpab,52.38281,Dkkl1,60.58723,Ywhaq,44.01425,Rpl22l1,53.5692,Rhox1,65.457085,Eef1d,13.771769,Prelid1,13.003649
Arpc1a,57.31024,Upp1,46.207138,Ctsb,44.217773,Ifitm3,79.163185,Rgs17,59.900135,Rps4x,52.208874,Atox1,60.33708,Hnrnpa1,44.00659,Lsm2,53.43884,Ptma,65.24878,Crip1,13.717694,P4hb,12.991698
Barx2,57.17092,Eno3,46.191643,Ly6a,43.55685,Thbs1,79.05795,Vmp1,59.809486,Pmm1,50.933674,Prss8,60.084393,Rpl7a,43.647083,Cdc20,53.415413,Dppa3,65.05688,Lox,13.605396,Rbms2,12.970203
Mllt4,57.133724,Hmgn3,45.32958,Ly6e,43.2599,Fbln2,78.70999,Cdkn2a,59.58952,Rpl9,50.79372,Adgrf5,59.89556,Nrep,43.60996,Sub1,53.360554,Anp32b,64.97285,Snhg18,13.5627575,Cck,12.9686365
Col18a1,57.053493,Ucp2,45.290485,Fam162a,43.22199,Itga11,78.6987,Gpx8,59.40464,Ybx1,50.711166,Ndrg1,59.706383,Rpl5,43.307926,Rpl7a,53.062668,Mt2,64.78942,Rpl27,13.404761,Fam134b,12.907298
Plk2,56.970562,Rpl7a,45.056404,Ccng1,43.20914,Aes,78.30279,Sep15,59.382317,Bola2,50.639423,Arpc2,59.569153,Chd7,43.240257,Ccnb2,52.378292,Dhx16,64.67291,Calm1,13.342398,Cmtm8,12.870497
Mdfi,56.4358,Rps12,44.83869,Tspan4,43.02378,Isg15,77.77675,Sparc,59.30672,Rpl22,50.307354,Jade3,59.46328,Top1,43.121918,Cd24a,52.35744,Lsm2,64.5355,Tpt1,13.331295,Flt1,12.834211
Klf5,55.96785,Rplp0,44.279114,Tpm2,42.520695,Tmed3,77.20842,Lpp,59.30084,Hk2,50.23819,Myl12a,59.396187,Ptn,42.85526,Fbl,52.21748,Hspa8,64.450226,Rpl19,13.234895,Parm1,12.831387
Pvrl4,55.627174,Thy1,43.781853,Sepw1,42.240364,Fn1,77.166115,Slc48a1,59.262585,Metap2,50.206657,Bex1,59.3174,H1f0,42.455284,Hsp90aa1,52.16775,Nasp,64.22105,Mgp,13.130842,Hspb2,12.818686
Igfbp2,55.478683,Rps10,43.610794,Map1lc3b,42.20552,Prrx1,77.02244,Lrp1,59.20581,Usmg5,49.61198,Akt1,58.89518,Ezh2,42.441414,Uchl3,51.801647,Hmgn2,63.468998,Rplp1,13.072685,Slc38a1,12.812353
Zfp706,55.469086,Rpl11,42.985367,Anxa5,42.08351,Itm2a,76.95949,Tpm1,58.935513,Rpl17,49.50433,Pea15a,58.37234,Rala,42.431,Mrpl42,51.673946,Rpl39l,63.2623,Fhl1,12.973342,Kdelr2,12.678923
Igf2bp3,55.458298,Uqcrh,42.85592,Rhoc,42.03936,Fth1,76.471214,Ptrf,58.584892,mt-Nd1,48.541775,Jup,58.299072,Tuba1b,42.387234,Prmt1,51.588924,Cenpa,63.025875,Cav1,12.945454,Slc16a1,12.637372
Tjp2,55.44513,Eif3i,42.850437,Myl9,41.836933,Adamts5,76.16146,Comt,58.236347,Cox8a,47.028336,Plekhh1,58.209126,0610012G03Rik,42.363953,Avpi1,51.50518,Jarid2,63.013493,Eif5a,12.941594,Tcf7l2,12.482557
Limk2,55.277077,Cd34,42.783413,Anxa8,41.80242,Nfic,75.240746,Fst,58.220417,Dmrtc2,46.622494,Plac8,57.815254,Rpl8,42.306667,L1td1,51.398098,Wfdc2,62.95067,Lmna,12.87097,Cd24a,12.477816
Gipc1,54.47605,Cox6b2,42.413525,Mgst1,41.734272,Pik3r1,75.11654,Cdkn1a,58.094807,Fau,46.57875,Desi1,57.515923,Ddah2,42.231102,Rps4x,51.17676,Apoc1,62.730225,Edf1,12.834107,Rps7,12.456522
Glul,53.603725,Fmod,42.36151,Fas,41.55559,Fzd1,75.08641,Selm,57.9199,Rpl6,46.19982,Tfpi,57.38792,Bzw2,41.957687,Rpl41,51.15177,H2afx,62.34755,Arhgdia,12.7355385,Wfdc1,12.406805
Fgfr2,53.30615,Urah,42.342884,Col6a1,41.444042,Rrbp1,74.95551,Ilk,57.388565,Ddx21,45.319134,Gale,57.353336,Lsm4,41.783283,Rangrf,51.007153,Birc5,62.162796,Rpl41,12.700349,Tmem256,12.372722
Tmem51,53.289295,Rpl26,42.34215,Bax,41.403393,Tgfbi,74.41594,Fhl1,57.240826,Tomm7,44.77323,Serpinb9d,57.271034,Rps25,41.76486,Hmgb2,50.95684,Gmnn,61.973694,Tmem258,12.644299,Hbegf,12.369925
Slc38a4,53.24483,Podxl,42.162045,Commd3,41.103054,Lum,74.33363,Capn2,57.151672,Rps3,44.57308,Gm2a,56.86525,Tspan3,41.508335,Impdh2,50.953064,Cks2,61.86142,Usmg5,12.617034,Nid2,12.332119
Arpc2,52.89352,Rps11,42.119404,Slc48a1,40.892963,1500015O10Rik,73.03024,Clic1,57.142963,Rpl19,44.322746,Ralgds,56.848873,Hnrnpc,41.443718,Nhp2l1,50.81372,Polr2e,61.694088,Rcn3,12.538677,Rpl31,12.256187
Gprc5a,52.23816,Ahnak2,42.082687,Col3a1,40.892742,Dap,72.9883,Cnn2,57.06302,Snrpg,44.31631,Limk2,56.7177,Hmgb2,41.4151,Eef1b2,50.811096,Tipin,61.618427,Mrpl52,12.465099,Rpl17,12.216583
Kdf1,51.935524,Tagln,41.721,Clic1,40.876625,Eid1,72.83123,Thy1,56.873264,Snrpe,43.571796,Sfmbt2,56.42607,Lsm5,41.36378,Fgfbp1,50.706554,Cenpm,61.58472,Bola3,12.422641,Rcn3,12.209522
Cotl1,51.60344,Naca,41.7046,Tmem59,40.833145,Fbln5,72.54842,Itm2c,56.862694,Cenpa,43.17164,Rnf128,56.233852,Srsf7,41.34021,Gar1,50.437862,Lage3,61.5647,Cope,12.332567,Rpl28,12.190372
Abracl,51.528896,Psmb1,41.231125,Plxdc2,40.63745,Sdc4,72.46826,Cthrc1,56.768597,Atp5e,43.072807,Dsp,55.709755,Scand1,41.30559,Rrm2,50.297417,Nfatc2ip,61.385757,Csrp1,12.200102,Rps16,12.175013
Eps8l2,51.52226,Prdx2,40.887638,Ccnd2,40.509243,Prkcdbp,72.3932,Shisa4,56.74582,Naca,42.98858,Rhou,55.48099,Dcakd,41.22996,Pkm,50.24689,Ranbp1,61.10109,Atp5o,12.135838,Rpl4,12.118086
Slc2a1,51.496906,Anxa2,40.8791,Col5a2,40.350857,Zcchc24,72.27828,Gsn,56.692814,Mif,42.869003,Gm9112,55.38561,Tpi1,41.22883,Pold2,49.9802,Dnajc19,61.0959,Psmb3,12.1165285,Spats2,12.10712
Slc2a3,51.315044,Ctsz,40.438892,Hcfc1r1,39.997578,P3h3,72.22344,Inhba,56.568573,Dpy30,42.807953,Abhd6,55.3447,Gng5,41.157234,Cdca8,49.916336,Rps6,60.923958,Rpl22,12.044448,Rpl13a,12.048082
Ywhaz,51.08079,Rpl36a,40.0109,Ypel3,39.84609,Ppic,71.90132,Crip2,56.48671,Hdgf,42.403034,Pxn,55.12663,Pfn2,41.032658,Rps26,49.576866,Bex4,60.64973,Cd63,12.012922,Rps3,12.011886
