cluster 0 gene,cluster 0 score,cluster 1 gene,cluster 1 score,cluster 2 gene,cluster 2 score,cluster 3 gene,cluster 3 score,cluster 4 gene,cluster 4 score,cluster 5 gene,cluster 5 score,cluster 6 gene,cluster 6 score,cluster 7 gene,cluster 7 score,cluster 8 gene,cluster 8 score,cluster 9 gene,cluster 9 score,cluster 10 gene,cluster 10 score,cluster 11 gene,cluster 11 score
Snapc1,2.3713949,Smim10l1,-1.2943131,C130074G19Rik,-1.0331655,Zc3h3,0.79985,Dcun1d2,3.0773323,Supt16,-1.6961563,Gorab,0.54562074,C230024C17Rik,0.08782219,Gm15326,-0.1614196,Tpd52l2,0.8590157,Ednrb,-0.629248,Xlr3c,-0.017559865
Osbp,2.3710263,Ttc30a1,-1.2946258,Mpp2,-1.0334446,Rfk,0.79913944,Tmem154,3.0767207,Lipt2,-1.6965753,Frmd8os,0.5450137,Slc2a5,0.08781783,Gm13293,-0.1614196,Synrg,0.8568865,Artn,-0.629365,Irs4,-0.017559865
Zbtb6,2.3694918,Zfpm2,-1.2948498,Exph5,-1.0336065,Gm15860,0.79776204,Snhg12,3.0753963,Wasf3,-1.6967669,Wac,0.5427628,Pirb,0.08779684,Gm4889,-0.1614196,Rims2,0.85442966,Megf10,-0.62949485,Mroh7,-0.017559865
Rasgrp4,2.3666704,Ntng1,-1.2951655,Fam65c,-1.033935,RP24-330M21.1,0.79715055,Ankrd24,3.0744705,Crtac1,-1.6971506,Ppp1r12c,0.54273945,Gm20517,0.08772237,Phf24,-0.1614196,Hacl1,0.85407335,Herc3,-0.6296992,1600012P17Rik,-0.017559865
Gm3453,2.3658707,Tcp11l1,-1.2972376,Sdk1,-1.0339613,Gfod2,0.7969373,Samd12,3.0738587,Mfsd9,-1.6983367,Kcnip3,0.5426084,4933424G06Rik,0.08769226,Chrnb4,-0.16198845,BC048679,0.8537693,Zbtb3,-0.6299375,Hao1,-0.017559865
Pla2g4a,2.3617465,Gm11423,-1.2997482,Inha,-1.034536,Zfp318,0.7960388,2810006K23Rik,3.0719175,Trim62,-1.6989402,Tpm3-rs7,0.5425308,Gm26644,0.08750409,Gsk3a,-0.16229174,9430037G07Rik,0.8536813,Cmpk2,-0.62996733,1700028P14Rik,-0.017559865
Tbce,2.3612504,9830147E19Rik,-1.3002716,Amn,-1.0354327,Calr3,0.7959767,Slc38a9,3.0675075,Gpr20,-1.6990794,Dhx34,0.54221004,Lpxn,0.08739357,Vezt,-0.16272616,4930503L19Rik,0.8533599,D030025P21Rik,-0.6301184,Gm17590,-0.017559865
Setx,2.3602455,Zfp239,-1.3016219,Tnnc1,-1.0357714,Sptlc2,0.7947132,Anapc5,3.0671613,Pot1b,-1.7011071,Zfp426,0.5409155,2310040G07Rik,0.08720461,Kcnj8,-0.16278231,Map2k3os,0.85291946,Slc39a2,-0.6305696,Ryr3,-0.017559865
Nufip2,2.3566213,4930535G08Rik,-1.3017074,Myo5c,-1.0378441,4732471J01Rik,0.79341656,Tecr,3.0646727,Lgi2,-1.7015043,Zfp874a,0.53811216,Jrkl,0.08676093,Dock10,-0.16287944,C2cd2l,0.85287285,Gm10762,-0.6305696,Kcna2,-0.017559865
Nsun6,2.3552759,Kcnj2,-1.3032883,Xk,-1.0378913,Gm42670,0.79329234,Znrd1as,3.0634975,Smc3,-1.7015339,Hacl1,0.5355732,AI429214,0.086335085,Lnx1,-0.16289665,Mapk8ip2,0.8517037,2610020H08Rik,-0.63145274,Zfp82,-0.017559865
Klk13,2.3546798,Tmeff2,-1.3040104,St8sia1,-1.0378923,Gm27030,0.79299563,Zfp61,3.0551224,Sult5a1,-1.7016553,Gm38079,0.5347616,BC001981,0.08622773,Magee2,-0.16290157,Garem,0.85166925,Ston2,-0.63147724,Slc7a11,-0.017559865
Ccl20,2.3511634,Zfp446,-1.3056027,Zfp661,-1.0385343,Ppil4,0.7920454,Mms19,3.053736,Scn2a1,-1.7025189,1700012C14Rik,0.53437144,Gm15351,0.08612909,Gm15690,-0.1629147,Gm5218,0.8509196,Arhgap9,-0.63177407,Gm10837,-0.017559865
Tmprss11f,2.3509045,4833427G06Rik,-1.3059897,Acad10,-1.0388798,Kcnma1,0.7911588,Hltf,3.0534704,Trmt6,-1.7040334,Nckap5l,0.53328663,Rogdi,0.08604709,Als2cr11,-0.16306673,4930509E16Rik,0.8507375,Emc7,-0.631972,Spocd1,-0.017559865
Apol7a,2.3501654,Adipor2,-1.3059983,Eme2,-1.0389761,Gm16223,0.7905467,Crebzf,3.0520535,Mat2a,-1.7040344,Rlbp1,0.5331842,Xrra1,0.08597499,Dao,-0.16306673,Catsper2,0.85050315,Hnrnpk,-0.6321242,A230087F16Rik,-0.017559865
Stx6,2.3493538,D430042O09Rik,-1.3064,Nkapl,-1.0394759,Mmp28,0.79002905,Mpp2,3.0498095,Sumo2,-1.7048571,Slfn2,0.53286856,Prr33,0.08577098,Slc27a6,-0.16306673,Gm37634,0.849909,C030039L03Rik,-0.6322125,Gnb5,-0.017559865
Krtap3-2,2.347834,Zscan18,-1.3064687,Kif13b,-1.0399321,Psmc3,0.7883564,Sap30,3.0494285,Hecw2,-1.7054462,BC048403,0.53081596,Mertk,0.08564263,4933417D19Rik,-0.16306673,Zfp423,0.84931743,Stk26,-0.6323764,Gm43337,-0.017559865
