Stac
Sptssb
Col13a1
Nccrp1
B4galt6
Fam171b
Man1c1
Tubb2b
B3gnt5
Crym
Sv2b
Gm16072
Ttll7
Cck
Krtap8-1
Vat1l
Reep1
Aard
Lipg
Socs2
Padi1
Hs3st1
Tgm6
Gpnmb
Cyfip2
Mt4
Krt75
Tubb2a
St3gal1
Foxq1
S100a3
Tchhl1
Csta1
Cmtm8
Pcyt1b
Kitl
Krt42
Bmper
Tgm3
9030617O03Rik
Pnpla1
Sct
Tchh
Dpysl3
Fndc9
Aldh1a3
Padi3
Gpc3
Golga7b
AA986860
