2-a,score
Stac,83.8252597949934
Sptssb,36.9760753694593
Col13a1,29.6981907713049
Nccrp1,27.2025534525144
B4galt6,16.9193694068278
Fam171b,16.6726874114485
Man1c1,15.6797863465862
Tubb2b,14.1283762305421
B3gnt5,13.9905909500328
Crym,13.6953926416157
Sv2b,11.9662512406204
Gm16072,10.9869992089031
Ttll7,10.9867946688572
Cck,10.8609350416926
Krtap8-1,10.7119783730104
Vat1l,10.6117277847443
Reep1,10.4349654188952
Aard,10.1661694982427
Lipg,10.0502415161304
Socs2,10.0161872087225
Padi1,9.97112046313507
Hs3st1,9.78900899334391
Tgm6,9.63886600221646
Gpnmb,9.05772924501861
Cyfip2,8.70958269501349
Mt4,8.70124365450351
Krt75,8.6356328623487
Tubb2a,8.57342083879427
St3gal1,8.27316042477718
Foxq1,8.26092152121113
S100a3,8.14755741178506
Tchhl1,8.03974793967608
Csta1,7.8797579019107
Cmtm8,7.55026131424797
Pcyt1b,7.51660980674608
Kitl,7.43117164377836
Krt42,7.30182698254093
Bmper,7.1606919038221
Tgm3,7.11291232173581
9030617O03Rik,7.06796750293512
Pnpla1,7.06283565987315
Sct,7.05741440370465
Tchh,6.91067952902988
Dpysl3,6.89755498190198
Fndc9,6.80890840786743
Aldh1a3,6.79358731250534
Padi3,6.74763570018333
Gpc3,6.73402308098119
Golga7b,6.73274394708084
AA986860,6.65241005136709
